10,8,0,0,0,0,0,0
46,22,0,0,0,0,0,0
81,64,0,0,0,0,0,0
167,104,0,0,0,0,0,0
254,128,0,0,0,4,0,0
325,187,0,0,0,4,0,0
429,227,0,0,0,4,0,0
517,295,0,0,0,4,0,0
613,385,0,0,0,4,0,0
718,488,0,0,10,4,0,0
847,543,0,0,12,4,0,0
933,596,0,0,12,4,1,0
1046,660,0,0,12,4,3,0
1131,735,0,0,12,4,10,0
1218,839,0,0,17,11,10,0
1286,955,0,0,17,11,12,0
1360,1048,0,0,23,11,12,0
1401,1162,0,0,33,28,12,0
1475,1257,0,0,45,33,12,0
1545,1308,0,0,57,55,12,0
1598,1359,0,0,57,73,12,0
1698,1415,0,0,59,73,12,0
1784,1437,0,0,69,87,12,0
1846,1499,0,0,72,96,12,0
1882,1596,0,0,72,99,12,3
1941,1689,0,0,72,111,12,3
2002,1788,0,0,72,111,12,3
2079,1862,0,0,84,111,12,3
2139,1933,0,0,84,111,12,3
2230,1989,0,0,84,111,12,3
2314,2017,0,0,84,128,12,3
2394,2071,0,0,84,129,12,3
2456,2131,0,0,84,129,12,3
2493,2179,0,0,84,129,12,3
2522,2214,0,0,98,129,12,3
2571,2223,0,0,108,129,12,3
2610,2226,0,0,108,129,12,3
2634,2226,0,0,108,129,12,3
2658,2229,0,0,108,129,12,3
2682,2229,0,0,108,129,12,3
2711,2229,0,0,108,129,12,3
2739,2229,0,0,108,129,12,3
2762,2244,0,0,108,139,24,3
2773,2256,0,0,120,150,24,3
